word,meaning
AAP,1.abbr. 阿波罗应用计划（Apollo Applications Program）；美国出版商协会（Association of American Publishers）[新经济人高频]
abandoning,1.v. 放弃；屈服（abandon的现在分词）[新经济人高频]
Abdel,1.n. (Abdel)人名；(阿拉伯、哈萨、塔吉、吉尔、乌兹、阿塞、土库、乍、塞)阿卜杜勒[新经济人高频]
abet,1.vt. 煽动，教唆；支持 2.n. (Abet)人名；(意)阿贝特；(匈)奥拜特[新经济人高频]
abound,1.vi. 富于；充满[新经济人高频]
absolutely,1.adv. 绝对地；完全地[新经济人高频]
absorb,1.vt. 吸收；吸引；承受；理解；使…全神贯注[新经济人高频]
absorbed,1.v. 吸收；使全神贯注（absorb的过去分词形式） 2.adj. 被吸收的；一心一意的[新经济人高频]
absurd,1.n. 荒诞；荒诞作品 2.adj. 荒谬的；可笑的[新经济人高频]
abused,1.n. 滥用，恶习；受虐 2.v. 滥用；虐待；辱骂（abuse的过去分词）[新经济人高频]
acceptable,1.adj. 可接受的；合意的；可忍受的[新经济人高频]
accepting,1.v. 接受；同意；承担（责任等）（accept的ing形式） 2.adj. 承兑的；易接受的；赞同的[新经济人高频]
accession,1.n. 增加；就职；到达 2.vt. 登记入册[新经济人高频]
acclaim,1.n. 欢呼，喝彩；称赞 2.vt. 称赞；为…喝采，向…欢呼 3.vi. 欢呼，喝采[新经济人高频]
accommodation,1.n. 住处，膳宿；调节；和解；预订铺位[新经济人高频]
accompanied,1.v. 陪伴，伴随；伴奏（accompany的过去分词） 2.adj. 伴随的；相伴的[新经济人高频]
accountability,1.n. 有义务；有责任；可说明性[新经济人高频]
accumulated,1.v. 累积（accumulate的过去分词） 2.adj. 累积的；累计的；达到[新经济人高频]
accumulating,1.n. [数] 累加 2.v. 积累（accumulate的ing形式）[新经济人高频]
accusations,1.n. 控告，指控；谴责[新经济人高频]
acid,1.n. 酸；<俚>迷幻药 2.adj. 酸的；讽刺的；刻薄的[新经济人高频]
acknowledged,1.v. 承认；确认（acknowledge的过去式和过去分词）；答谢 2.adj. 公认的；被普遍认可的[新经济人高频]
acquiring,1.n. 捕获，探测；习得；瞄准 2.v. 获得（acquire的ing形式）[新经济人高频]
acquisition,1.n. 获得物，获得[新经济人高频]
Action,1.n. 行动；活动；功能；战斗；情节 2.n. (Action)人名；(英)埃克申[新经济人高频]
actor,1.n. 男演员；行动者；作用物[新经济人高频]
Adam,1.n. 亚当[新经济人高频]
