word,meaning
abase,v.降低…的地位，贬抑，使卑下[红宝书]
abash,v.使害羞，使尴尬[红宝书]
abate,v.减轻，减少[红宝书]
abatement,n.减轻，减少[红宝书]
abbreviate,v.缩短；缩写[红宝书]
abdicate,v.退位，辞职，放弃[红宝书]
aberrant,a.越轨的；异常的[红宝书]
aberration,n.越轨[红宝书]
abet,v.教唆，鼓励，帮助[红宝书]
abeyance,n.中止，搁置[红宝书]
abhor,v.憎恨，嫌恶[红宝书]
abhorrent,a.可恨的，讨厌的[红宝书]
abject,a.极可怜的;卑下的[红宝书]
abjure,v.发誓放弃[红宝书]
ablaze,a.着火的，燃烧的；闪耀的[红宝书]
abnegate,v.否认，放弃[红宝书]
abnegation,n.放弃，自我牺牲[红宝书]
abolish,v.废止，废除(法律、制度、习俗等)[红宝书]
abolition,n.废除，革除[红宝书]
abominate,v.痛恨；厌恶[红宝书]
abortive,a.无结果的，失败的[红宝书]
abound,v.大量存在；充满，富于[红宝书]
aboveboard,a./adv.光明正大的(地)[红宝书]
abrade,v.磨损，磨小[红宝书]
abrasive,a.磨损的；扰人的  n.研磨料[红宝书]
abreast,adv.并列，并排[红宝书]
abridge,v.删减；缩短[红宝书]
abrogate,v.废止，废除[红宝书]
abrupt,a.突然的，意外的；唐突的[红宝书]
abscond,v.潜逃，逃亡[红宝书]
absent,v.缺席，不参加[红宝书]
absolve,v.赦免，免除[红宝书]
abstain,v.禁绝，放弃[红宝书]
abstemious,a.有节制的，节俭的(eating & drinking)[红宝书]
abstention,n.戒除，弃权[红宝书]
abstentious,a.有节制的[红宝书]
abstinent,a.饮食有度的，有节制的，禁欲的[红宝书]
abstract,n.摘要；a.抽象的[红宝书]
abstruse,a.难懂的，深奥的[红宝书]
absurd,a.荒谬的，可笑的[红宝书]
abuse,v./n.辱骂; 滥用[红宝书]
abusive,a.漫骂的；毁谤的；虐待的[红宝书]
abut,v.接界，毗连[红宝书]
abysmal,a.极深的；糟透的[红宝书]
academic,a.学院的，学术的；理论的[红宝书]
acarpous,a.不结果实的[红宝书]
accede,v.同意[红宝书]
accelerate,v.加速；促进[红宝书]
accentuate,v.重读；强调[红宝书]
accessible,a.易达到的；易受影响的[红宝书]
accessory,adj.附属的，次要的[红宝书]
accidental,adj.偶然发生的[红宝书]
acclaim,v.欢呼，称赞[红宝书]
acclimate,v.使服水土; 使适应[红宝书]
accolade,n.推崇；赞扬[红宝书]
accommodate,v.与…一致；提供食宿[红宝书]
accompany,v.伴随，陪伴[红宝书]
accomplice,n.同谋者，帮凶[红宝书]
accomplish,v.完成，做成功[红宝书]
accomplished,a.完成了的；有技巧的，有造诣的[红宝书]
accost,v.搭话[红宝书]
accountability,n.负有责任[红宝书]
accredit,v.授权[红宝书]
accrete,v.逐渐增长；添加生长；连生[红宝书]
accrue,v.(利息等)增大；增多[红宝书]
accumulate,v.积聚，积累(collect)[红宝书]
accuracy,n.精确，准确[红宝书]
accurate,a.精确的，准确的[红宝书]
accuse,v.谴责，指责[红宝书]
accustom,v.使习惯[红宝书]
acedia,n.无精打采的样子；懒惰[红宝书]
acerbic,a.苦涩的；刻薄的[红宝书]
acerbic,a.苦涩的；刻薄的[红宝书]
acidic,a.酸的，酸性的[红宝书]
acknowledge,v.承认；致谢[红宝书]
acolyte,n.(教士的)助手，侍僧[红宝书]
acoustic,a.听觉的，有关声音的[红宝书]
acquiesce,v.勉强同意，默许[红宝书]
acquiescence,n.默许[红宝书]
acquit,v.宣告无罪；脱卸义务和责任；还清(债务)[红宝书]
acrid,a.辛辣的，刻薄的[红宝书]
acrimonious,a.尖酸刻薄的，激烈的[红宝书]
acrimony,n.尖刻，刻薄[红宝书]
acrobat,n.特技演员，杂技演员[红宝书]
activate,v.刺激，使活动[红宝书]
actuate,v.开动，促使[红宝书]
acuity,n.(尤指思想或感官)敏锐[红宝书]
acumen,"n.敏锐，精明,聪明"[红宝书]
acute,a.灵敏的；剧烈的；急性的[红宝书]
adamant,a.强硬的；固执的[红宝书]
adapt,v.使…适应；修改[红宝书]
adaptability,v.适应性[红宝书]
adaptable,a.有适应能力的；可改编的[红宝书]
addict,v./n.沉溺；上瘾(者)[红宝书]
additive,n.添加剂[红宝书]
addle,v.使腐坏；使混乱[红宝书]
address,v.处理，对付，着手解决；致词[红宝书]
adduce,v.给予（理由）；举出（例证）[红宝书]
adept,a.老练的，精通的[红宝书]
adequate,a.足够的[红宝书]
adhere,"v.粘着；依附,拥护"[红宝书]
adherent,n.拥护者，信徒[红宝书]
adhesive,a.带粘性的，胶粘的；n.胶合剂[红宝书]
adjourn,v.使延期，推迟；休会[红宝书]
adjudicate,v.充当裁判；判决[红宝书]
adjunct,n.附加物，附件[红宝书]
admonish,v.训诫；警告[红宝书]
adolescent,a.青春期的；n.青少年[红宝书]
adopt,v.收养；采纳[红宝书]
adoration,n.崇拜，爱慕[红宝书]
adore,v.崇拜；热爱[红宝书]
adorn,v.装饰[红宝书]
adroit,a.熟练的，灵巧的[红宝书]
adulate,v.谄媚，奉承[红宝书]
adulation,n.谄媚，奉承[红宝书]
adulatory,adj.奉承的[红宝书]
adulterate,v.掺假[红宝书]
adumbrate,v.(对将来事件)预示[红宝书]
advent,n.到来，来临[红宝书]
adventitious,a.偶然的[红宝书]
adventurous,a.爱冒险的，大胆的[红宝书]
adversary,n.对手，敌手  a. ···的[红宝书]
adverse,a.不利的，相反的；敌对[红宝书]
adversity,n.逆境，不幸[红宝书]
advert,v.注意，留意；提及[红宝书]
advertise,v.做广告[红宝书]
advisable,adj.适当的，可取的[红宝书]
advocacy,n.拥护，支持[红宝书]
advocate,v.拥护，支持；n.支持者，拥护者[红宝书]
aerate,v.充气，让空气进入[红宝书]
aerial,a.空中的，空气中的[红宝书]
aesthetic,a.美学的，有审美感的[红宝书]
aesthetically,adv.审美的，美学观点上的[红宝书]
affable,a.易于交谈的；和蔼的[红宝书]
affected,a.不自然的；假装的[红宝书]
affection,n.喜爱[红宝书]
affectionate,a.亲爱的，挚爱的[红宝书]
affective,a.感情的，表达感情的[红宝书]
affiliate,v.加入；联合[红宝书]
affiliation,n.联系，联合[红宝书]
affinity,n.密切关系；(两性)吸引力[红宝书]
affirmation,n.肯定，断言[红宝书]
affix,v.粘上，贴上；在合同上添写某事物；n.词缀[红宝书]
afflict,v.使痛苦，折磨[红宝书]
affliction,n.悲痛，受难的起因[红宝书]
affluent,a.富裕的，丰富的[红宝书]
affordable,a.能够支付的[红宝书]
affront,v.侮辱，冒犯[红宝书]
aftermath,n.后果，余波[红宝书]
agape,a./adv. （嘴）大张着的[红宝书]
agenda,n.议程[红宝书]
aggrandize,v.增大，扩张；吹棒[红宝书]
aggravate,v.加重，恶化[红宝书]
aggregate,v.集合；合计[红宝书]
aggressive,a.好斗的；进取的[红宝书]
aggrieve,v.使受委屈；使痛苦[红宝书]
aghast,a.惊骇的，吓呆的[红宝书]
agile,a.敏捷的，灵活的[红宝书]
agility,n.敏捷[红宝书]
agitate,v.搅动，煽动；使不安，使焦虑[红宝书]
agitated,a.被鼓动的；不安的[红宝书]
agitation,n.焦虑，不安；鼓动宣传[红宝书]
agnostic,a.不可知论的[红宝书]
agog,a.兴奋的，有强烈兴趣的[红宝书]
agony,n.极大痛苦[红宝书]
agoraphobic,n./a. 患旷野恐惧症的（人）[红宝书]
agrarian,a.土地的[红宝书]
agreeable,a.令人喜悦的；欣然同意的[红宝书]
ague,n.冷颤，发冷[红宝书]
ail,v.生病[红宝书]
airborne,a.空气传播的；空运的[红宝书]
airtight,a.密闭的，不透气的[红宝书]
akin,a.同族的，[红宝书]
albeit,conj. 虽然，尽管[红宝书]
