repast,"n.餐 vi.设宴，就餐 "
recast,"v.重铸；更换演员[红宝书]"
recant,"撤回，放弃，改变：withdraw a statement"
cast,"演员，演员阵容：a set of characters; 选派（演员）：assign, actor; 提出：give off; 抛弃：get rid of"
decant,"轻轻倒出：pour off without disturbing"
forecast,"v.预报，预测；n.预测[红宝书]"
react,"做出反应：in response"
recall,"v.回想，回忆起；收回；n.唤回，召回[红宝书]"
recess,"n.壁凹(墙上装的架子、柜子等凹处)；(工作)休假期；(法庭、国会)休庭期[红宝书]"
dander,"激怒某人, 头垢 "
gander,"n.雄鹅；笨人，傻瓜v.闲逛[红宝书]"
gender,"1.n. 性；性别；性交 2.vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）[新经济人高频]"
pander,"v.怂恿，迎合(不良欲望)[红宝书]"
banner,"1.n. 旗帜，横幅；标语 2.n. (Banner)人名；(英、德、罗)班纳[新经济人高频]"
banter,"幽默、打趣的（地）谈话：humored"
candor,"坦率，直率，诚挚：honest, sincere"
cinder,"n.余烬，矿渣[红宝书]"
fender,"缓存装置：cushioning device"
garner,"v.把…储入谷仓；收藏，积累；获得[红宝书]"
grandeur,"宏伟，壮丽：grand"
hanker,"向往，渴望：desire, yearn"
hinder,"v.阻碍，妨碍[红宝书]"
ladder,"1.n. 阶梯；途径；梯状物 2.vt. 在……上装设梯子 3.vi. 成名；发迹[新经济人高频]"
landed,"1.v. 登陆，登岸（land的过去时和过去分词） 2.adj. 拥有土地的；陆地上的[新经济人高频]"
meander,"闲逛，漫步：aimlessly and idly"
ponder,"v.仔细考虑[红宝书]"
render,"v.呈递，表现；提供…作为报偿或交换[红宝书]"
slander,"v./n.诽谤，诋毁[红宝书]"
sunder,"分裂，分离：break apart"
tandem,"1.n. 串联；串座双人自行车 2.adj. 串联的 3.adv. 一前一后地；纵排地 4.n. (Tandem)人名；(英)坦德姆[新经济人高频]"
tender,"正式提出：offer；考虑周到的，关心同情的：sympathy consideration"
tinder,"n.火种，易燃物，引火物[红宝书]"
