truculent,"尖酸刻薄的：harsh insulting；好战的，好斗的：eagerness to fight"
truculence,"n.野蛮，残暴[红宝书]"
bungle,"办遭，失败：work clumsily"
binge,"1.n. 狂欢，狂闹；放纵 2.n. (Binge)人名；(英)宾奇 3.vt. 放纵 4.vi. 狂饮作乐；大吃大喝[新经济人高频]"
boggle,"（因为怀疑、恐惧）犹豫：hesitate; 笨拙地做：unskillful way"
buckle,"n.皮带扣环 v.扣紧[红宝书]"
budge,"（使）改变立场或态度：alter a position; 停止抵抗，屈服：cease resistance"
bulge,"凸起：protuberant; 比赛中的优势地位：more favorable condition; 暴涨，突增，在数目或数量上突然而且是临时性的增加：sudden, usually temporary increase; 充满：copiously supplied"
bumble,"含糊不清地说，杂乱无章地说：rapidly, inarticulately；笨拙地行动：clumsily"
bustle,"忙乱，喧嚣：noisy, energetic；（快速地）行走，奔忙：move briskly"
dangle,"v.悬荡，悬摆[红宝书]"
mangle,"损毁，使伤残：injury；弄砸：ruin"
mingle,"mingle：social；混合，结合：mix"
tangle,"困惑，不解：perplexity；纠缠，使....纠结：in a snare"
swatch,"样品，样本, 小牌 "
snatch,"n./v.强夺，攫取[红宝书]"
snitch,"v.告密；偷[红宝书]"
batch,"一批次的量：unit; 一小群人：small number of persons"
hatch,"n.船舱盖；v.孵化[红宝书]"
notch,"刻痕：cut；通过努力获得：obtain"
patch,"n.补丁；一小片(土地)[红宝书]"
scotch,"停止：put an end to"
scratch,"1.n. 擦伤；抓痕；刮擦声；乱写 2.vt. 抓；刮；挖出；乱涂 3.adj. 打草稿用的；凑合的；碰巧的 4.vi. 抓；搔；发刮擦声；勉强糊口；退出比赛[新经济人高频]"
sketch,"n.草图，概略 v.画草图，写概略[红宝书]"
stitch,"突然剧痛：sharp unpleasant sensation"
thatch,"v.以茅草覆盖；n.茅草屋顶，茅草[红宝书]"
quell,"压制：suppress；使平静，使安静：pacify"
mob,"1.n. 暴民，暴徒；民众；乌合之众 2.vt. 大举包围，围攻；蜂拥进入 3.vi. 聚众生事，聚众滋事[新经济人高频]"
bob,"v.轻拍，轻叩；使上下快速摆动[红宝书]"
consummate,"专业的，有造诣的：extremely skilled；无纰漏的，完美的：perfect；最高档次的，最大规模的：highest degree"
consecrate,"v.奉献，使神圣[红宝书]"
temerity,"有效的，显著的：effective"
celerity,"n.快速，迅速[红宝书]"
blois,"布洛瓦（法国中部城市，位于图尔城东北，鲁瓦尔河畔。它是有权势的布洛瓦伯爵的封地，同时也是法国王室最喜爱的居住地。人口47， 243） "
tabloid,"1.n. 小报；药片；文摘；小型画报 2.adj. 小报式的；缩略的；轰动性的；扼要的[新经济人高频]"
semblance,"假装, 副本，拷贝 "
normalcy,"n.常态，正常 "
wherewithal,"n.为做某事而需要的钱 "
