quirk,"n.奇事；怪癖[红宝书]"
gleeful,"高兴的, 令人愉快的 "
languish,"变得衰弱：become feeble"
anguish,"n.极大痛苦[红宝书]"
languid,"没精打采的，虚弱的：lacking energy"
vanquish,"打败，征服：defeat"
cogent,"令人信服的：convincing; 相关的：pertinent"
cement,"粘合，粘合剂：uniting, binding"
comet,"1.n. [天] 彗星 2.n. (Comet)人名；(法)科梅[新经济人高频]"
consent,"同意：approval"
content,"使满足：appease；主题：major subject of interest；内容，内涵：idea that is conveyed"
covert,"隐蔽的，秘密的：not shown；隐秘庇护所：avoid others"
covet,"v.贪求，妄想[红宝书]"
cozen,"诱骗：mislead"
foment,"助长，煽动：promote the growth"
moment,"n.瞬间；重要；(物)力矩[红宝书]"
potent,"a.强有力的，有影响力的；有效力的[红宝书]"
torrid,"酷热的：intensely hot；热情的，情感深厚的：great depth of feeling"
torpid,"麻木的，没有知觉的：sensation；迟钝的，行动迟缓的：slow"
Morris,"1.n. （打扮成 Robin Hood 等传奇人物跳的）莫理斯舞 2.n. (Morris)人名；(丹、德、法、捷、葡、西、意、英)莫里斯[新经济人高频]"
morbid,"疾病的，疾病所致的：by disease；（思想性格）变态的：unwholesome thoughts"
sordid,"肮脏的，不干净的：not clean；卑鄙的：baseness"
turbid,"混浊的：deficient in clarity"
turgid,"浮夸的，过分装饰的：embellished"
obnoxious,"a.令人不愉快的；可憎的[红宝书]"
noxious,"有害的，有毒的：harmful, injurious to health；产生强烈厌恶的：causing intense displeasure"
pouty,"adj.撅嘴的，容易生气的 "
pout,"（尤指撅嘴或板着脸）表示不悦：show displeasure"
bout,"1.n. 回合；较量；发作；一阵 2.n. (Bout)人名；(法)布特[新经济人高频]"
rout,"n.溃败[红宝书]"
spout,"v.喷出；滔滔不绝地讲[红宝书]"
tout,"极力赞扬：praise"
mull,"v.思考，思索 n.混乱[红宝书]"
cull,"v.挑选，精选 n.剔除的东西[红宝书]"
dull,"a.不鲜明的；迟钝的；v.变迟钝[红宝书]"
gull,"欺骗：untrue"
hull,"n.外壳；荚；船身；v.剥去外壳[红宝书]"
lull,"相对平静时期，间隙：momentary halt；使镇静，使安心：free from distress"
mall,"1.n. 购物商场；林荫路；铁圈球场 2.n. (Mall)人名；(英)玛尔(女子教名 Mary 的昵称)；(阿拉伯)迈勒；(尼)马尔[新经济人高频]"
null,"adj.无效的；等于零的[红宝书]"
prodigious,"巨大的：great in size；惊人的，了不起的：astonishment"
propitious,"吉祥的：favorably happy outcome"
prestigious,"a.有名望的，有威信的[红宝书]"
contort,"扭曲：twist"
consort,"v.陪伴；结交 n.配偶[红宝书]"
concord,"一致，和睦：harmony, agreement"
conform,"使协调：bring into harmony；调整（以适应）：change to make it suitable；遵照，遵从：obedient, compliant"
contact,"n./v.接触；互通信息[红宝书]"
content,"使满足：appease；主题：major subject of interest；内容，内涵：idea that is conveyed"
contest,"v.竞争；对…表示质疑，对…提出异议[红宝书]"
context,"n.(语句等的)上下文[红宝书]"
convert,"被改变宗教信仰的人：converted；使改变信仰：bring over from brief；改变，转化：alter"
contort,"扭曲：twist"
consort,"v.陪伴；结交 n.配偶[红宝书]"
concord,"一致，和睦：harmony, agreement"
conform,"使协调：bring into harmony；调整（以适应）：change to make it suitable；遵照，遵从：obedient, compliant"
contact,"n./v.接触；互通信息[红宝书]"
content,"使满足：appease；主题：major subject of interest；内容，内涵：idea that is conveyed"
contest,"v.竞争；对…表示质疑，对…提出异议[红宝书]"
context,"n.(语句等的)上下文[红宝书]"
convert,"被改变宗教信仰的人：converted；使改变信仰：bring over from brief；改变，转化：alter"
aluminate,"n.铝酸盐 "
calumniate,"诽谤，造谣，中伤：false statements"
unambiguous,"清楚的, 明白的 "
spate,"突发的洪水：sudden flood；大量：large number"
sate,"使饱足，充分满足：satisfy fully"
slate,"列入名单，计划，安排：put on a list"
spat,"（小的）争吵：quarrel"
spite,"n.怨恨，恶意[红宝书]"
wondrous,"1.adj. 奇妙的；令人惊奇的；非常的[新经济人高频]"
onerous,"费时间花心思的：requiring much time, effort"
ponderous,"沉重的：great weight；沉闷无聊的：unpleasantly dull"
sonorous,"a.（声音)洪亮的[红宝书]"
spotty,"多粉刺的（尤指脸上）, 带斑点的，有污迹的 adv.多斑点地 n.有污迹，带斑点 "
outreach,"v.到达顶端，超越 延伸，拓广, 扩大服务范围 adj.扩大服务的 "
perquisite,"额外的好处：given in addition"
exquisite,"程度强烈的：extreme；精致精巧的：refined taste"
prerequisite,"先决条件，前提：necessary to an end"
requisite,"必需品：something necessary；必不可少的，必备的：necessary"
persuasive,"a.易使人信服的，有说服力的[红宝书]"
decadent,"堕落的，腐败的：lowered moral character；放纵的人：devoted to luxury and sensual pleasures；道德上堕落的人：moral decay"
deaden,"v.减低某物的力量或强度[红宝书]"
decadence,"衰落，颓废：deterioration, decline"
decant,"轻轻倒出：pour off without disturbing"
sabotage,"妨害，破坏：hinder a cause；从事破坏活动，阻止：practice sabotage"
chafe,"v.摩擦生热；擦痛；激怒[红宝书]"
chaff,"开玩笑：make jokes"
chase,"镂雕（金属）以装饰：decorate; 驱赶：force out"
contingent,"依情况而定的, 取决于…的 分遣队, 代表团 "
coterminous,"a.毗连的，有共同边界的[红宝书]"
terminus,"终点，终点站：end"
narrative,"a.叙述的，讲故事的[红宝书]"
harken,"v.倾听 "
hearken,"倾听，关注：attention"
hearten,"给予鼓励，鼓舞：give strength courage, encourage"
inscrutable,"a.高深莫测的，不可理解的，神秘的[红宝书]"
scrutable,"可以理解的：understood comprehensible"
