vociferous,"喧哗的，大叫大嚷的：vehement outcry"
odoriferous,"a.有气味的[红宝书]"
trumpet,"大声说出或宣告：make known"
trumpery,"a.中看不中用的[红宝书]"
begrudge,"v.吝啬，勉强给[红宝书]"
grudge,"怨恨，仇恨：ill will"
mishmash,"n.混杂物 vt.使成为杂乱的一堆 "
motif,"n.(作品)主题，主旨[红宝书]"
wrung,"把（湿衣服）拧干, 绞掉（水） "
rung,"1.n. 横档，脚蹬横木；地位 2.v. 给…打电话（ring的过去式和过去分词） 3.n. (Rung)人名；(泰、柬、瑞典)龙；(芬、德、匈)龙格[新经济人高频]"
hung,"1.v. 悬挂；垂落（hang的过去式和过去分词） 2.n. (Hung)人名；(老)亨；(中)洪(普通话·威妥玛)；(朝)兴；(东南亚国家华语)勋[新经济人高频]"
run,"（不间断的）连续演出：course of performances"
antiquated,"有古风的, 年老的 v.使古旧，废弃（antiquate的过去式和过去分词） "
antiquated,"古老的，过时的：out of style"
animated,"a.活泼的，生动的[红宝书]"
antique,"a.古时的，古老的；n.古物，古董[红宝书]"
antiquity,"n.古；古人；古迹[红宝书]"
derivative,"非原创的：originality"
derivatives,"1.派生物[新经济人高频]"
derivation,"n.发展，起源；词源[红宝书]"
definitive,"a.明确的，有权威的[红宝书]"
deprivation,"匮乏：privation"
pervasive,"adj.弥漫的，遍布的[红宝书]"
incumbent,"义不容辞的，必须的：obligation duty"
recumbent,"躺着的：lying down"
behoove,"对...有利：necessary, proper, advantageous"
onus,"n.义务，负担[红宝书]"
implicate,"v.牵连(于罪行中)；暗示[红宝书]"
implicated,"1.v. 纠缠（implicate的过去式和过去分词） 2.adj. 有牵连的[新经济人高频]"
complicate,"使复杂化：complex or difficult"
duplicate,"复制品：exactly alike；复制：make a copy；重复，反复：do over or again"
explicate,"解释，说明：detailed explanation"
implicit,"不言而喻的，心照不宣的：understood though unexpressed；无疑问的，无保留的：without doubt"
replicate,"复制，复刻：make an exact likeness；重复，反复：do again"
unbidden,"a.未经邀请的[红宝书]"
conspiratorial,"adj.阴谋的，阴谋者的 "
stymy,"n.妨碍球 v.从中作乱，完全妨碍 "
gratuitous,"无根据的，无理由的：unwarranted；无报酬的，免费的：without return；多余的：not needed"
fortuitous,"a.偶然的，意外的；幸运的[红宝书]"
gracious,"a.大方的，和善的；奢华的；优美的，雅致的[红宝书]"
gratuity,"n.赏钱，小费[红宝书]"
coax,"哄骗：pleading, flattery, cajole"
hoax,"欺骗：cause to believe untrue"
palpable,"摸得到的：capable touched；明显的，易觉察的：obvious"
culpable,"该受谴责的，有罪的：deserving blame"
impalpable,"a.无法触及的；不易理解的[红宝书]"
palatable,"感到愉悦满足的：pleasure or contentment"
parable,"寓言：teach a basic truth"
pliable,"易弯曲的，柔软的：supple；易受影响的，温顺的：easily influenced"
menace,"威胁，使处于危险：intention to harm"
deface,"v.损坏（外观）[红宝书]"
enact,"制定或颁布（法律）：establish"
hence,"1.adv. 因此；今后[新经济人高频]"
mince,"切碎：small pieces；小步走：short steps"
penance,"n.自我惩罚[红宝书]"
backwater,"闭塞的地方, 不受外界事件或新思想影响的地方 倒开船, 食言 "
idyllic,"adj.田园诗的[红宝书]"
idyll,"无忧无虑的生活：carefree episode"
roil,"搅浑，使混乱：stir up；激怒：displease"
foil,"挫败：prevent from being successful"
rail,"猛骂，猛烈抨击：revile or scold"
soil,"n./v.弄脏，污损；n.土壤[红宝书]"
toil,"v./n.长时间辛勤劳作[红宝书]"
underbelly,"n.下腹部的，物体的下方，易受攻击的地带 "
corollary,"n.必然的结果，系，推论 "
scrupulous,"正直的：principled；一丝不苟的：great care and effort"
unscrupulous,"a.肆无忌惮的，无道德原则的[红宝书]"
credulous,"轻信的，易受骗的：gullible"
scrumptious,"a.美味的，可口的[红宝书]"
lapse,"小过失：slight error；结束，终止：end"
elapse,"v.消逝，过去  n. 消逝[红宝书]"
flagrant,"a.臭的，恶名昭彰的[红宝书]"
fragrant,"a.芳香的；愉快的[红宝书]"
vagrant,"a.漂泊的，流浪的；n.流浪汉，居无定所或无固定工作的人[红宝书]"
egregious,"a.(缺点等)过分的，惊人的[红宝书]"
atypical,"adj.非典型的 "
empathize,"v.移情，神会 "
reprehensible,"a.应受谴责的[红宝书]"
comprehensible,"a.能充分理解的[红宝书]"
prehensile,"a.能抓住东西的，缠绕的[红宝书]"
apprehensive,"知晓的，理解的：impressed on the mind；恐惧的，害怕的：anxious, fearful"
intimation,"n.暗示[红宝书]"
animation,"n.活泼，有生气；卡通制作[红宝书]"
automation,"n.自动装置[红宝书]"
imitation,"仿制品：like something else"
incubation,"n.孵卵期；潜伏期[红宝书]"
inhibition,"n.阻止，抑制；抑制物[红宝书]"
inspiration,"n.启示，灵感[红宝书]"
institution,"n.公共机构，协会；制度[红宝书]"
intimate,"有紧密联系的，亲密无间的：close association；不为人知的：not known；密友：person who has a strong liking；迂回地交流，间接地沟通：communicate indirectly"
intuition,"n.直觉；由直觉获知的知识[红宝书]"
irritation,"n.愤怒，急躁，刺激[红宝书]"
litigation,"1.n. 诉讼；起诉[新经济人高频]"
motivation,"1.n. 动机；积极性；推动[新经济人高频]"
vindication,"n.证明无罪，辩护[红宝书]"
entail,"使必要, 限定继承 "
disregard,"漠视，不关注：no attention；缺乏兴趣，缺乏关心：interest concern"
undergird,"加强，巩固...的底部：strengthen"
underbid,"v.要价过低[红宝书]"
undergrad,"n.<口>大学肄业生，（尚未取得学位的）大学生 adj.大学生的 "
merely,"纯粹, 全然 "
mete,"v.给予，分配；测量；n.边界[红宝书]"
metre,"1.n. 米；公尺；韵律 2.n. (Metre)人名；(英)米特[新经济人高频]"
mite,"微小的东西，很少的钱：small object"
mote,"n.微粒，微尘[红宝书]"
mute,"不说话的，缄默的：refraining from speech；使颜色，音调等柔和：soften；减弱声音：muffle the sound"
tally,"v.(使)一致，符合[红宝书]"
