begrudge,"v.吝啬，勉强给[红宝书]"
grudge,"怨恨，仇恨：ill will"
gusto,"n.热情，乐趣，津津有味 "
gust,"情感爆发：sudden intense expression"
bust,"n.半身(雕)像[红宝书]"
gist,"要点：main point"
gush,"（使）大量涌出：great volume；（使）情感强烈外溢：exaggerated display"
gut,"1.n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠 2.vt. 取出内脏；摧毁（建筑物等）的内部 3.adj. 简单的；本质的，根本的；本能的，直觉的 4.n. （德、俄、意、葡、塞、捷、匈、瑞典）古特（人名）；（英）格特（人名）[新经济人高频]"
oust,"免职：remove from；驱逐：drive out"
genial,"和蔼亲切的：easygoing；友好的，热心的：kindly feeling；温暖的：neither too high nor too low"
denial,"1.n. 否认；拒绝；节制；背弃[新经济人高频]"
menial,"仆人，奴仆：servant；卑贱的，低下的：spirit of humility or unseemly submissiveness"
venial,"可宽恕的：easily excused"
aerial,"a.空中的，空气中的[红宝书]"
dental,"a.牙齿的，牙科的[红宝书]"
penal,"adj.惩罚的，刑罚的[红宝书]"
renal,"a.肾脏的[红宝书]"
serial,"a.连续的，一系列的[红宝书]"
venal,"贪污受贿的：open to corrupt"
languorous,"adj.怠惰的，没精打采的 "
poolside,"n.游泳池边 adj.在游泳池边的 "
travail,"辛苦劳动：arduous"
prevail,"盛行，战胜：greater in strength"
tribulation,"n.苦难，忧患[红宝书]"
simulation,"n.模拟[红宝书]"
stipulation,"n.规定，约定[红宝书]"
purport,"n.意义，涵义，主旨[红宝书]"
purported,"a.谣传的，声张的，号称的[红宝书]"
hitherto,"adv.到目前为止[红宝书]"
inaugural,"就职的，就任的, 创始的，最早的 就职典礼, 就职演说 "
architecture,"体系结构, （总体、层次）结构 "
parch,"炽，烤，烤干：dry"
patch,"n.补丁；一小片(土地)[红宝书]"
perch,"v.(鸟)栖息[红宝书]"
puckish,"淘气的，顽皮的：mischievous, impish"
peckish,"a.饿的；急躁的[红宝书]"
mischievous,"调皮的，淘气的：naughty teasing；有害的：causing harm"
misanthropic,"反人类：deep distrust of human"
misanthrope,"n.厌恶人类者[红宝书]"
philanthropic,"博爱的，为他人着想的：welfare of others"
glib,"流利圆滑的（常含有不真诚或欺诈的成分），油腔滑调的：fluency insincere deceitful；缺乏深度的，肤浅的：lacking depth"
racket,"（四周有围墙的）拍打回力网球，硬壁回力球, 喧骚，吵闹，嚷闹，扰嚷，喧骚嘈杂的集会，狂欢 嚷闹，吵闹，纵情欢闹, 用球拍打 "
withstand,"v.顶住，经受住[红宝书]"
