obsequious,"谄媚的，奴性的：fawning attentiveness"
endear,"使亲密, 使被爱恋 "
rancid,"a.不新鲜的，变质变味的[红宝书]"
acid,"1.n. 酸；<俚>迷幻药 2.adj. 酸的；讽刺的；刻薄的[新经济人高频]"
candid,"a.率直的[红宝书]"
fancied,"a.空想的，虚构的[红宝书]"
rabid,"狂热的，不冷静的：fanatical"
raid,"1.n. 袭击；突袭；搜捕；抢劫 2.vt. 袭击，突袭 3.vi. 对…进行突然袭击 4.n. (Raid)人名；(阿拉伯)拉伊德[新经济人高频]"
rancor,"敌意，深仇：ill will"
affidavit,"<法>宣誓口供, 宣誓书 "
detractor,"n.贬低者 "
mannerism,"（绘画、写作中）过分的独特风格, 风格主义 "
elicit,"激起，唤起：bring out"
deficit,"n.不足，赤字[红宝书]"
delimit,"v.定界，划界[红宝书]"
elixir,"n.万能药，长生不老药[红宝书]"
evict,"赶出，逐出：expel"
explicit,"表达清晰的：fully revealed or expressed；成熟的，完全形成的：fully developed"
illicit,"a.违法的[红宝书]"
solicit,"v.恳求；教唆(犯罪)，(妓女)拉客[红宝书]"
somber,"昏暗的，无光的：shaded；悲伤的，不愉快的：lacking in cheer"
sober,"严肃的：serious-looking；节制的：restraint；有理有据的：sound reasoning"
cumber,"v.拖累，妨碍[红宝书]"
limber,"可塑的，柔软的：flexible"
lumber,"木材：tree logs；笨拙地行动：clumsiness；使负担（从而拖累）：burden"
robber,"1.n. 强盗；盗贼[新经济人高频]"
simmer,"v.炖，慢煮 n.即将沸腾的状态[红宝书]"
simper,"v.假笑，傻笑[红宝书]"
slobber,"n.口水 v.流口水；情不自禁的说[红宝书]"
slumber,"睡着：sleep"
solder,"连接，联合：unite"
besotted,"adj.愚蠢的，糊涂的 v.使烂醉，使迷糊，使沉醉( besot的过去式和过去分词 ) "
secular,"世俗的，尘世的：worldly or temporal"
jocular,"搞笑的，欢乐的：joking, playful"
ocular,"a.眼睛的；视觉的[红宝书]"
peculiar,"a.独特的；古怪的[红宝书]"
versatile,"多才多艺的，全能的：different things；易改变的：fluctuating readily"
protean,"善变的；多才多艺的：diversity, variety, versatile"
proteins,"1.n. [生化] 蛋白质（protein复数）[新经济人高频]"
protest,"v./n.抗议，反对[红宝书]"
confer,"v.讨论，商谈；赠予[红宝书]"
coffer,"n.保险柜，保险箱[红宝书]"
conifer,"n.针叶树[红宝书]"
cinder,"n.余烬，矿渣[红宝书]"
concur,"同意：agreement；同一时间发生、存在：same time；团结合作：joint"
cone,"n.松果；圆锥体[红宝书]"
confess,"v.承认，供认[红宝书]"
conform,"使协调：bring into harmony；调整（以适应）：change to make it suitable；遵照，遵从：obedient, compliant"
conquer,"v.以武力征服[红宝书]"
convert,"被改变宗教信仰的人：converted；使改变信仰：bring over from brief；改变，转化：alter"
convex,"凸起的：curves outward"
convey,"运输：transport；传递，交流：communicate"
copper,"1.n. 铜；铜币；警察 2.adj. 铜的 3.vt. 镀铜于 4.n. (Copper)人名；(英)科珀[新经济人高频]"
cower,"畏缩：cringe"
ponder,"v.仔细考虑[红宝书]"
clutch,"1.n. 离合器；控制；手；紧急关头 2.vt. 抓住；紧握 3.adj. 没有手提带或背带的；紧要关头的 4.vi. 攫；企图抓住[新经济人高频]"
crutch,"支撑，支柱：supports"
clench,"v.握紧；咬紧（牙关等）[红宝书]"
clinch,"v.钉牢；最终解决[红宝书]"
crunch,"1.n. 咬碎，咬碎声；扎扎地踏 2.vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过 3.vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过[新经济人高频]"
glitch,"小故障：minor malfunction"
lurch,"蹒跚：swaying"
