screed,"（定墙上灰泥厚薄的）准条, 匀泥尺 "
creed,"n.教义；信条[红宝书]"
breed,"v.繁殖；教养；n.品种，种类[红宝书]"
creek,"小溪，小河：smaller"
creep,"缓慢地行进：slowly；匍匐前进：body close to the ground"
nominally,"在名义上，表面地, 应名儿 "
trumpet,"[乐]音栓, 喇叭似的声音 vt.大声说出或宣告 吹喇叭，吹小号, 发出回声 "
rump,"1.n. （人的）臀部，（动物的）尾部；残余，渣滓 2.n. (Rump)人名；(法、罗、德)伦普[新经济人高频]"
bump,"v.碰撞 n.碰撞声[红宝书]"
dump,"1.n. 垃圾场；仓库；无秩序地累积 2.vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销 3.vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等） 4.n. （英）邓普（人名，男子教名Humphrey、Humphry的昵称）[新经济人高频]"
lump,"1.n. 块，块状；肿块；瘤；很多；笨人 2.adj. 成团的；总共的 3.vt. 混在一起；使成块状；忍耐；笨重地移动 4.vi. 结块 5.adv. 很；非常[新经济人高频]"
pump,"1.n. 泵，抽水机；打气筒 2.vt. 打气；用抽水机抽… 3.vi. 抽水 4.n. (Pump)人名；(捷)蓬普；(英)庞普[新经济人高频]"
chagrin,"沮丧，懊恼：mind"
arrant,"a.完全的，彻底的；极坏的，臭名昭著的[红宝书]"
errant,"居无定所的：from place to place；误入歧途的，犯错误的：straying proper course or standards"
warrant,"向...保证质量：assume responsibility for the satisfactory quality；批准，认可：give official acceptance"
aberrant,"adj.异常的，非常规的：deviating"
arcane,"（语言）晦涩的，隐晦的：veiled, uncertain；深奥的，难以理解的：difficult to understand"
ardent,"a.热心的，热烈的[红宝书]"
array,"排列，阵列：arrangement；排列，摆放：arrange or display；装饰，装修：dress or decorate"
arrest,"使不活跃：inactive; 停止：stopping, standstill; 逮捕：keep; 吸引（某人）注意力：hold, attention"
arrogant,"a.傲慢的，自大的[红宝书]"
errand,"n.差使；差事[红宝书]"
grant,"v.同意给予[红宝书]"
rant,"（尤指长时间的）训斥，责骂：angry scolding；怒吼：noisy, angry or violent manner"
truant,"逃避责任（的）；逃避责任者：shirking responsibility, shirks duty"
tyrant,"暴君：oppressively or brutally"
vagrant,"a.漂泊的，流浪的；n.流浪汉，居无定所或无固定工作的人[红宝书]"
warranty,"n.保证(期)；辩解；有正当理由；批准[红宝书]"
shun,"避开，避免：keep away"
shunt,"v.使(火车)转到另一轨道，转移方向[红宝书]"
stun,"v.使震惊，打晕[红宝书]"
lickspittle,"n.低三下四，奉承者，献媚者 "
charlatan,"骗子，装懂的人：fraudulent"
braggadocio,"n.自夸，吹牛大王 "
spurius,"adj.假的 n.伪足 "
spurious,"假的，伪造的：lacking authenticity"
parious,"a.靠不住的，危险的[红宝书]"
spacious,"a.广阔的，宽敞的[红宝书]"
specious,"似是而非的，欺骗性的：false look of truth"
patina,"外表：superficial；（由内而外散发的）氛围，气场：appearance or aura"
Latino,"1.n. 拉丁美洲人 2.n. (Latino)人名；(意、葡)拉蒂诺 3.adj. 拉丁美洲的；拉丁美洲人的[新经济人高频]"
patent,"显而易见的，明显的：readily visible"
patio,"1.n. 露台；天井[新经济人高频]"
satiny,"a.光滑的，柔软的[红宝书]"
vagina,"1.n. [解剖] 阴道；叶鞘；鞘[新经济人高频]"
forgo,"v.放弃，抛弃[红宝书]"
forge,"伪造：imitate falsely；铸造，铸就：form；"
