infarction,"n.梗塞形成，梗死形成 "
infraction,"违背，违反：failure to uphold the requirements"
fraction,"1.n. 分数；部分；小部分；稍微[新经济人高频]"
refraction,"n.折射[红宝书]"
Inflation,"1.n. 膨胀；通货膨胀；夸张；自命不凡[新经济人高频]"
detraction,"n.贬低，诽谤[红宝书]"
extraction,"血统：origin, ancestry"
faction,"派系：a party that is often contentious"
friction,"摩擦：rubbing；冲突，不和：clashing；"
induction,"n.就职，入伍仪式；归纳[红宝书]"
infections,"1.n. 传染病；口腔病害（infection复数形式）[新经济人高频]"
injection,"1.n. 注射；注射剂；充血；射入轨道[新经济人高频]"
inspection,"1.n. 视察，检查[新经济人高频]"
myocardial,"adj.心肌的 "
superfluity,"n.多余的量[红宝书]"
superfluous,"多余的，过剩的：exceeding sufficient"
superiority,"n.优越(感)[红宝书]"
remission,"n.宽恕，豁免[红宝书]"
admission,"1.n. 承认；入场费；进入许可；坦白；录用[新经济人高频]"
rescission,"n.废除，撤销[红宝书]"
denizen,"n.居民，住户 "
protestations,"n.（严正的）声明( protestation的名词复数 ) "
disseminate,"散播，传播：spread, promulgate"
discriminate,"区分：perceive distinguishing, recognize；歧视：difference"
dissimulate,"v.隐藏，掩饰[红宝书]"
dissipate,"驱散：drive away, disperse；浪费：wastefully, squander；放纵：indulge, intemperate"
dissociate,"v.分离，游离，分裂[红宝书]"
curator,"n.(博物馆等)馆长[红宝书]"
crater,"n.火山口；弹坑[红宝书]"
hint,"1.n. 暗示；线索 2.vt. 暗示；示意 3.vi. 示意 4.n. (Hint)人名；(英)欣特；(法)安特[新经济人高频]"
dint,"v.击出凹痕[红宝书]"
mint,"巨额：abundant amount；无损坏的：unmarred"
tint,"涂浅色，微染：slight coloration to"
eclectic,"混合的，多元化的：from various sources"
overarching,"adj.首要的 v.在…上方成拱形( overarch的现在分词 ) "
revitalized,"v.使恢复元气，使具有新的活力( revitalize的过去式和过去分词 ) "
revitalize,"v.使重新充满活力，使新生，使再兴[红宝书]"
vitalize,"v.激发活力，使有生气[红宝书]"
cabinet,"n.橱柜；内阁[红宝书]"
provincial,"狭隘（的）：limited perspective"
principal,"主要的，重要的：highest importance, rank"
providential,"天意的，幸运（的）：divine intervention"
bravura,"优秀演技（的）：brilliant"
gawk,"1.n. 呆子；腼腆的人 2.vi. 呆呆地看着[新经济人高频]"
gawky,"（举止）笨拙的：inability to move in a graceful manner"
gawp,"1.n. 呆人；笨蛋 2.vi. 直瞪瞪地注视[新经济人高频]"
hawk,"n.隼，鹰[红宝书]"
calumny,"n.诽谤，中伤[红宝书]"
alumni,"1.n. 男校友；男毕业生（alumnus的复数）[新经济人高频]"
clumsy,"笨拙的：lacking, nimbleness, lack, skill; 不文雅的：lacking, grace, inability, graceful; 不精致的：roughly"
column,"1.n. 纵队，列；专栏；圆柱，柱形物[新经济人高频]"
