grand,"（最）重要的, 豪华的 一千美元, 大钢琴 "
grant,"v.同意给予[红宝书]"
graft,"移植，移接：implant surgically"
grants,"1.n. 补助金；津贴（grant的复数）；政府奖助 2.v. [专利] 授予；同意；承认（grant的第三人称单数） 3.n. (Grants)人名；(瑞典)格兰茨[新经济人高频]"
grunt,"1.n. 咕哝；呼噜声 2.n. (Grunt)人名；(俄、捷、英)格伦特 3.vt. 咕哝着说 4.vi. 作呼噜声；发哼声[新经济人高频]"
rant,"（尤指长时间的）训斥，责骂：angry scolding；怒吼：noisy, angry or violent manner"
benighted,"愚昧无知, 怐婺 "
dishevel,"v.使蓬乱，使（头发）凌乱[红宝书]"
disheveled,"adj.（头发、服装等）不整的，凌乱的[红宝书]"
huddle,"v.挤成一团 n.一堆人（或物）[红宝书]"
cuddle,"v./n. 搂抱，拥抱 [红宝书]"
hurdle,"n.跨栏；障碍；v.克服(障碍)[红宝书]"
muddle,"n.迷惑，困惑[红宝书]"
addle,"v.使腐坏；使混乱[红宝书]"
coddle,"v.溺爱；悉心照料[红宝书]"
curdle,"v.使凝结，变稠[红宝书]"
humble,"谦逊的：meekness, modesty；顺从的，谦卑的：humility or unseemly submissiveness"
hurtle,"v.呼啸而过，快速通过；猛投，用力投掷[红宝书]"
meddle,"干涉，管闲事：intrude"
peddle,"v.兜售[红宝书]"
piddle,"v.鬼混，浪费[红宝书]"
saddle,"使某人担负：load"
waddle,"摇摇摆摆地走:tilt the body from side to side"
irredeemable,"不可弥补, 不可挽回 "
irredeemable,"a.无法挽回的[红宝书]"
irremediable,"a.无法治愈的，无法纠正的，无法挽回的[红宝书]"
hectic,"a.兴奋的，繁忙的，忙乱的[红宝书]"
hector,"v.威吓[红宝书]"
lactic,"a.乳汁的[红宝书]"
septic,"腐败的，感染的：putrefaction"
tactic,"n.(达到目的的)策略，手段；战术[红宝书]"
